strain	taxonomyId	accession	currentAccession	isRef	level	assemblyStatus	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	taxonomicLevelSerotype	taxonomicLevelIsolate	taxonomicLevelDomainId	taxonomicLevelRealmId	taxonomicLevelKingdomId	taxonomicLevelPhylumId	taxonomicLevelClassId	taxonomicLevelOrderId	taxonomicLevelFamilyId	taxonomicLevelGenusId	taxonomicLevelSpeciesId	taxonomicLevelStrainId	taxonomicLevelSerotypeId	taxonomicLevelIsolateId	commonName	otherTaxa	ucscBrowser	geneModelUrl
EI222	1658174	GCA_001883805.1	GCA_001883805.1	False	Scaffold	current		32310953	3868	12836	768	123.4	47.5			Blastomyces percursus	1658174	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,229219,1658174	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces percursus				2759		4751	4890	147545	33183	299071	229219	1658174						https://genome.ucsc.edu/h/GCA_001883805.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/883/805/GCA_001883805.1/genes/GCA_001883805.1_Blas_perc_EI222_V1.ncbiGene.gtf.gz
UAMH 9510	1447872	GCA_001883825.1	GCA_001883825.1	True	Scaffold	current		32410993	1643	45890	200	88	44.5			Emergomyces pasteurianus	1955774	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,1955773,1955774,1447872	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emergomyces	Emergomyces pasteurianus	Emergomyces pasteurianus Ep9510			2759		4751	4890	147545	33183	299071	1955773	1955774	1447872					https://genome.ucsc.edu/h/GCA_001883825.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/883/825/GCA_001883825.1/genes/GCA_001883825.1_Emmo_past_UAMH9510_V1.ncbiGene.gtf.gz
14004	120296	GCA_001888865.1	GCA_001888865.1	False	Scaffold	current		53986354	1631	585845	27	59	46.5			Fusarium oxysporum	5507	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,171631,5507,120296	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum				2759		4751	4890	147550	5125	110618	5506	5507						https://genome.ucsc.edu/h/GCA_001888865.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/888/865/GCA_001888865.1/genes/GCA_001888865.1_ASM188886v1.augustus.gtf.gz
CBS 583.65	1036611	GCA_001890125.1	GCA_001890125.1	True	Scaffold	current		33126810	51	2487993	5	178.1	50.0		GCF_001890125.1	Aspergillus versicolor	46472	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720870,46472,1036611	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus versicolor	Aspergillus versicolor CBS 583.65			2759		4751	4890	147545	5042	1131492	5052	46472	1036611					https://genome.ucsc.edu/h/GCA_001890125.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/890/125/GCA_001890125.1/genes/GCA_001890125.1_Aspve1.ncbiGene.gtf.gz
CBS 106.47	1137211	GCA_001890685.1	GCA_001890685.1	False	Scaffold	current		37452972	100	2197438	6	65.7	49.0			Aspergillus luchuensis	1069201	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,1069201,1137211	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus luchuensis	Aspergillus luchuensis CBS 106.47			2759		4751	4890	147545	5042	1131492	5052	1069201	1137211					https://genome.ucsc.edu/h/GCA_001890685.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/890/685/GCA_001890685.1/genes/GCA_001890685.1_Aspfo1.ncbiGene.gtf.gz
CBS 593.65	1036612	GCA_001890705.1	GCA_001890705.1	True	Scaffold	current		34381026	97	2288531	5	95.1	50.0		GCF_001890705.1	Aspergillus sydowii	75750	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720870,75750,1036612	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sydowii	Aspergillus sydowii CBS 593.65			2759		4751	4890	147545	5042	1131492	5052	75750	1036612					https://genome.ucsc.edu/h/GCA_001890705.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/890/705/GCA_001890705.1/genes/GCA_001890705.1_Aspsy1.ncbiGene.gtf.gz
CBS 134.48	767770	GCA_001890745.1	GCA_001890745.1	False	Scaffold	current		35146149	33	2949984	5	155.5	49.0			Aspergillus tubingensis	5068	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,5068,767770	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus tubingensis	Aspergillus tubingensis CBS 134.48			2759		4751	4890	147545	5042	1131492	5052	5068	767770					https://genome.ucsc.edu/h/GCA_001890745.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/890/745/GCA_001890745.1/genes/GCA_001890745.1_Asptu1.ncbiGene.gtf.gz
ATCC 16872	690307	GCA_001890905.1	GCA_001890905.1	True	Scaffold	current		35424414	660	1634707	8	32.17	51.0		GCF_001890905.1	Aspergillus aculeatus	5053	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,5053,690307	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus aculeatus	Aspergillus aculeatus ATCC 16872			2759		4751	4890	147545	5042	1131492	5052	5053	690307					https://genome.ucsc.edu/h/GCA_001890905.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/890/905/GCA_001890905.1/genes/GCA_001890905.1_Aspac1.ncbiGene.gtf.gz
FBCC735	154538	GCA_001895945.1	GCA_001895945.1	True	Scaffold	current		39739821	1731	72583	157	160	57.5			Trametes pubescens	154538	1,131567,2759,33154,4751,451864,5204,5302,155619,355688,5303,5317,5324,154538	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens				2759		4751	5204	155619	5303	5317	5324	154538						https://genome.ucsc.edu/h/GCA_001895945.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/895/945/GCA_001895945.1/genes/GCA_001895945.1_ASM189594v1.ncbiGene.gtf.gz
	50376	GCA_001901625.1	GCA_001901625.1	False	Scaffold	current		40550085	545	181027	65	170	48.0			Venturia effusa	50376	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715962,147541,451868,1111111,5023,5024,50376	Ascomycota	Eukaryota		Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia effusa				2759		4751	4890	147541	1111111	5023	5024	50376						https://genome.ucsc.edu/h/GCA_001901625.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/901/625/GCA_001901625.1/genes/GCA_001901625.1_ASM190162v1.augustus.gtf.gz
	94034	GCA_001923025.3	GCA_001923025.3	True	Chromosome	current	7.0	240596867	737	44815576	2	120	44.0			Taenia multiceps	94034	1,131567,2759,33154,33208,6072,33213,33317,2697495,1206795,6157,6199,6200,6201,6208,6202,94034	Platyhelminthes	Eukaryota		Metazoa	Platyhelminthes	Cestoda	Cyclophyllidea	Taeniidae	Taenia	Taenia multiceps				2759		33208	6157	6199	6201	6208	6202	94034						https://genome.ucsc.edu/h/GCA_001923025.3	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/923/025/GCA_001923025.3/genes/GCA_001923025.3_ASM192302v3.augustus.gtf.gz
GR9-4	40483	GCA_001931775.1	GCA_001931775.1	True	Scaffold	current		45982938	2178	104995	107	127	55.5			Fomitopsis pinicola	40483	1,131567,2759,33154,4751,451864,5204,5302,155619,355688,5303,1769247,34474,40483	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis pinicola				2759		4751	5204	155619	5303	1769247	34474	40483						https://genome.ucsc.edu/h/GCA_001931775.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/931/775/GCA_001931775.1/genes/GCA_001931775.1_ASM193177v1.augustus.gtf.gz
JSC-093350089	5061	GCA_001931795.1	GCA_001931795.1	False	Scaffold	current		36079011	223	543773	24	100	49.5			Aspergillus niger	5061	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,5061	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus niger				2759		4751	4890	147545	5042	1131492	5052	5061						https://genome.ucsc.edu/h/GCA_001931795.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/931/795/GCA_001931795.1/genes/GCA_001931795.1_ASM193179v1.augustus.gtf.gz
IMV 00293	5507	GCA_001931975.2	GCA_001931975.2	False	Scaffold	current		51318644	876	812484	21	100	47.5			Fusarium oxysporum	5507	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,171631,5507	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum				2759		4751	4890	147550	5125	110618	5506	5507						https://genome.ucsc.edu/h/GCA_001931975.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/931/975/GCA_001931975.2/genes/GCA_001931975.2_ASM193197v2.augustus.gtf.gz
38S102	168172	GCA_001936605.2	GCA_001936605.2	False	Scaffold	current		75577821	996	145234	85	120	44.0			Puccinia striiformis	27350	1,131567,2759,33154,4751,451864,5204,29000,162484,5258,5262,5296,27350,168172	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia striiformis				2759		4751	5204	162484	5258	5262	5296	27350						https://genome.ucsc.edu/h/GCA_001936605.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/936/605/GCA_001936605.2/genes/GCA_001936605.2_ASM193660v2.augustus.gtf.gz
LMB-TM5	239206	GCA_001939255.1	GCA_001939255.1	False	Scaffold	current		36629716	5321	63390	144	100	58.0			Trametes polyzona	239206	1,131567,2759,33154,4751,451864,5204,5302,155619,355688,5303,5317,5324,239206	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes polyzona				2759		4751	5204	155619	5303	5317	5324	239206						https://genome.ucsc.edu/h/GCA_001939255.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/939/255/GCA_001939255.1/genes/GCA_001939255.1_ASM193925v1.augustus.gtf.gz
65	36022	GCA_001983305.1	GCA_001983305.1	False	Contig	current		12188250	25	1227680	4	120	44.5			Cyberlindnera fabianii	36022	1,131567,2759,33154,4751,451864,4890,716545,147537,4891,3243778,115784,604195,36022	Ascomycota	Eukaryota		Fungi	Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera fabianii				2759		4751	4890	4891	3243778	115784	604195	36022						https://genome.ucsc.edu/h/GCA_001983305.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/983/305/GCA_001983305.1/genes/GCA_001983305.1_ASM198330v1.ncbiGene.gtf.gz
129	4909	GCA_001983325.1	GCA_001983325.1	False	Scaffold	current		11679144	260	336598	11	115	38.5		GCF_001983325.1	Pichia kudriavzevii	4909	1,131567,2759,33154,4751,451864,4890,716545,147537,3239874,3243775,1156497,4919,4909	Ascomycota	Eukaryota		Fungi	Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Pichia	Pichia kudriavzevii				2759		4751	4890	3239874	3243775	1156497	4919	4909						https://genome.ucsc.edu/h/GCA_001983325.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/983/325/GCA_001983325.1/genes/GCA_001983325.1_ASM198332v1.ncbiGene.gtf.gz
ITEM 5010	602072	GCA_001990825.1	GCA_001990825.1	True	Scaffold	current		36149134	829	1827541	8	17.78	51.5			Aspergillus carbonarius	40993	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,40993,602072	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus carbonarius	Aspergillus carbonarius ITEM 5010			2759		4751	4890	147545	5042	1131492	5052	40993	602072					https://genome.ucsc.edu/h/GCA_001990825.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/990/825/GCA_001990825.1/genes/GCA_001990825.1_Aspca3.ncbiGene.gtf.gz
	86257	GCA_001990985.1	GCA_001990985.1	False	Scaffold	current		36773575	550	325002	31	263	47.5			Venturia carpophila	86257	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715962,147541,451868,1111111,5023,5024,86257	Ascomycota	Eukaryota		Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia carpophila				2759		4751	4890	147541	1111111	5023	5024	86257						https://genome.ucsc.edu/h/GCA_001990985.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/990/985/GCA_001990985.1/genes/GCA_001990985.1_ASM199098v1.augustus.gtf.gz
QM6a	431241	GCA_002006585.1	GCA_002006585.1	False	Complete Genome	current	7.0	34922528	7	5311445	3	81.4	51.0			Trichoderma reesei	51453	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,5129,5543,51453,431241	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma reesei	Trichoderma reesei QM6a			2759		4751	4890	147550	5125	5129	5543	51453	431241					https://genome.ucsc.edu/h/GCA_002006585.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/006/585/GCA_002006585.1/genes/GCA_002006585.1_ASM200658v1.augustus.gtf.gz
AMFP13	1357716	GCA_002006685.2	GCA_002006685.2	True	Contig	current		73346731	165	915035	19	76.86	43.0			Batrachochytrium salamandrivorans	1357716	1,131567,2759,33154,4751,112252,4761,2683659,451435,451442,1142503,100474,1357716	Chytridiomycota	Eukaryota		Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Batrachochytrium	Batrachochytrium salamandrivorans				2759		4751	4761	451435	451442		100474	1357716						https://genome.ucsc.edu/h/GCA_002006685.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/006/685/GCA_002006685.2/genes/GCA_002006685.2_Batr_sala_V2.ncbiGene.gtf.gz
CDC:HCTX69:14	88456	GCA_002019455.1	GCA_002019455.1	False	Scaffold	current		42346107	1291	118912	113	20	52.0			Cyclospora cayetanensis	88456	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5799,44417,88456	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Cyclospora	Cyclospora cayetanensis				2759			5794	1280412	75739	5799	44417	88456						https://genome.ucsc.edu/h/GCA_002019455.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/019/455/GCA_002019455.1/genes/GCA_002019455.1_ASM201945v1.augustus.gtf.gz
CDC:HCGM01:97	88456	GCA_002019465.1	GCA_002019465.1	False	Scaffold	current		43895689	1247	114276	117	20	52.0			Cyclospora cayetanensis	88456	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5799,44417,88456	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Cyclospora	Cyclospora cayetanensis				2759			5794	1280412	75739	5799	44417	88456						https://genome.ucsc.edu/h/GCA_002019465.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/019/465/GCA_002019465.1/genes/GCA_002019465.1_ASM201946v1.augustus.gtf.gz
CDC:HCJK01:14	88456	GCA_002019475.1	GCA_002019475.1	False	Scaffold	current		41397365	1594	79597	162	20	52.0			Cyclospora cayetanensis	88456	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5799,44417,88456	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Cyclospora	Cyclospora cayetanensis				2759			5794	1280412	75739	5799	44417	88456						https://genome.ucsc.edu/h/GCA_002019475.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/019/475/GCA_002019475.1/genes/GCA_002019475.1_ASM201947v1.augustus.gtf.gz
CDC:HCRI01:97	88456	GCA_002019905.1	GCA_002019905.1	False	Scaffold	current		43010379	1469	95847	136	20	52.0			Cyclospora cayetanensis	88456	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5799,44417,88456	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Cyclospora	Cyclospora cayetanensis				2759			5794	1280412	75739	5799	44417	88456						https://genome.ucsc.edu/h/GCA_002019905.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/019/905/GCA_002019905.1/genes/GCA_002019905.1_ASM201990v1.augustus.gtf.gz
Pb30/40	65659	GCA_002025285.2	GCA_002025285.2	True	Scaffold	current		79497867	43878	2548	8740	37	43.5			Acanthamoeba comandoni	65659	1,131567,2759,554915,555280,1485168,555407,33677,5754,65659	Amoebozoa	Eukaryota			Discosea		Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba comandoni				2759			555280		1485168	33677	5754	65659						https://genome.ucsc.edu/h/GCA_002025285.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/025/285/GCA_002025285.2/genes/GCA_002025285.2_ASM202528v2.augustus.gtf.gz
TH1	646526	GCA_002081675.1	GCA_002081675.1	False	Scaffold	current		3253521	62	125008	10	363	25.5			Ecytonucleospora hepatopenaei	646526	1,131567,2759,33154,4751,112252,6029,6032,27970,3078583,646526	Microsporidia	Eukaryota		Fungi	Microsporidia			Enterocytozoonidae	Ecytonucleospora	Ecytonucleospora hepatopenaei				2759		4751	6029			27970	3078583	646526						https://genome.ucsc.edu/h/GCA_002081675.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/081/675/GCA_002081675.1/genes/GCA_002081675.1_ASM208167v1.ncbiGene.gtf.gz
ATCC 11559	58291	GCA_002083735.1	GCA_002083735.1	False	Scaffold	current		24077254	595	84607	87	135.2	37.0			Rhizopus microsporus	58291	1,131567,2759,33154,4751,112252,1913637,451507,2212703,4827,1344963,1344955,4842,58291	Mucoromycota	Eukaryota		Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus microsporus				2759		4751	1913637	2212703	4827	1344955	4842	58291						https://genome.ucsc.edu/h/GCA_002083735.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/083/735/GCA_002083735.1/genes/GCA_002083735.1_Rhimi_ATCC11559_1.ncbiGene.gtf.gz
ATCC 52814	86635	GCA_002083745.1	GCA_002083745.1	False	Scaffold	current		24950816	560	105542	71	142.8	37.5			Rhizopus microsporus	58291	1,131567,2759,33154,4751,112252,1913637,451507,2212703,4827,1344963,1344955,4842,58291,86635	Mucoromycota	Eukaryota		Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus microsporus				2759		4751	1913637	2212703	4827	1344955	4842	58291						https://genome.ucsc.edu/h/GCA_002083745.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/083/745/GCA_002083745.1/genes/GCA_002083745.1_Rhimi_ATCC52814_1.ncbiGene.gtf.gz
canceri	1081669	GCA_002087875.1	GCA_002087875.1	False	Contig	current		4834792	2344	3349	376	63	23.0			Hepatospora eriocheir	1081669	1,131567,2759,33154,4751,112252,6029,6032,3075347,1081667,1081669	Microsporidia	Eukaryota		Fungi	Microsporidia			Hepatosporidae	Hepatospora	Hepatospora eriocheir				2759		4751	6029			3075347	1081667	1081669						https://genome.ucsc.edu/h/GCA_002087875.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/087/875/GCA_002087875.1/genes/GCA_002087875.1_ASM208787v1.ncbiGene.gtf.gz
GB1	1081669	GCA_002087885.1	GCA_002087885.1	True	Scaffold	current		4570278	1300	16672	78	4478	22.5			Hepatospora eriocheir	1081669	1,131567,2759,33154,4751,112252,6029,6032,3075347,1081667,1081669	Microsporidia	Eukaryota		Fungi	Microsporidia			Hepatosporidae	Hepatospora	Hepatospora eriocheir				2759		4751	6029			3075347	1081667	1081669						https://genome.ucsc.edu/h/GCA_002087885.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/087/885/GCA_002087885.1/genes/GCA_002087885.1_ASM208788v1.ncbiGene.gtf.gz
GB1	1081671	GCA_002087915.1	GCA_002087915.1	True	Contig	current		3095385	537	26533	33	199	40.0			Enterospora canceri	1081671	1,131567,2759,33154,4751,112252,6029,6032,27970,1081670,1081671	Microsporidia	Eukaryota		Fungi	Microsporidia			Enterocytozoonidae	Enterospora	Enterospora canceri				2759		4751	6029			27970	1081670	1081671						https://genome.ucsc.edu/h/GCA_002087915.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/087/915/GCA_002087915.1/genes/GCA_002087915.1_ASM208791v1.ncbiGene.gtf.gz
BRFM310	1353009	GCA_002092935.1	GCA_002092935.1	True	Scaffold	current		32757859	222	474834	20	99.4	56.5			Trametes coccinea	158605	1,131567,2759,33154,4751,451864,5204,5302,155619,355688,5303,5317,5324,158605,1353009	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes coccinea	Trametes coccinea BRFM310			2759		4751	5204	155619	5303	5317	5324	158605	1353009					https://genome.ucsc.edu/h/GCA_002092935.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/092/935/GCA_002092935.1/genes/GCA_002092935.1_Pycco1.ncbiGene.gtf.gz
NRRL 39664	1824868	GCA_002093855.1	GCA_002093855.1	True	Scaffold	current		35314756	481	200998	56	75	48.5			Fusarium praegraminearum	1824868	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,1824868	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium praegraminearum				2759		4751	4890	147550	5125	110618	5506	1824868						https://genome.ucsc.edu/h/GCA_002093855.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/093/855/GCA_002093855.1/genes/GCA_002093855.1_ASM209385v1.augustus.gtf.gz
72/2	29196	GCA_002105255.2	GCA_002105255.2	False	Scaffold	current		54603123	36485	1867	8020	41	57.5			Acanthamoeba lenticulata	29196	1,131567,2759,554915,555280,1485168,555407,33677,5754,29196	Amoebozoa	Eukaryota			Discosea		Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba lenticulata				2759			555280		1485168	33677	5754	29196						https://genome.ucsc.edu/h/GCA_002105255.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/105/255/GCA_002105255.2/genes/GCA_002105255.2_ASM210525v2.augustus.gtf.gz
5z489	1972497	GCA_002110485.1	GCA_002110485.1	True	Contig	current		35498521	108	1285840	9	410	45.5			Emergomyces orientalis	1972497	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,1955773,1972497	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emergomyces	Emergomyces orientalis				2759		4751	4890	147545	33183	299071	1955773	1972497						https://genome.ucsc.edu/h/GCA_002110485.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/110/485/GCA_002110485.1/genes/GCA_002110485.1_ASM211048v1.augustus.gtf.gz
MAD-698-R-SB12	670580	GCA_002117355.1	GCA_002117355.1	True	Scaffold	current		42452888	549	2104516	8	47	54.0		GCF_002117355.1	Rhodonia placenta	104341	1,131567,2759,33154,4751,451864,5204,5302,155619,355688,5303,2983338,2041757,104341,670580	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Agaricomycetes	Polyporales	Adustoporiaceae	Rhodonia	Rhodonia placenta	Postia placenta MAD-698-R-SB12			2759		4751	5204	155619	5303	2983338	2041757	104341	670580					https://genome.ucsc.edu/h/GCA_002117355.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/117/355/GCA_002117355.1/genes/GCA_002117355.1_PosplRSB12_1.ncbiGene.gtf.gz
EXF-2000	1157616	GCA_002127715.1	GCA_002127715.1	False	Contig	current		49743999	628	153735	100	27	53.5			Hortaea werneckii	91943	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715962,147541,451867,2726947,668547,91942,91943,1157616	Ascomycota	Eukaryota		Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Hortaea	Hortaea werneckii	Hortaea werneckii EXF-2000			2759		4751	4890	147541	2726947	668547	91942	91943	1157616					https://genome.ucsc.edu/h/GCA_002127715.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/127/715/GCA_002127715.1/genes/GCA_002127715.1_HwerPB1.ncbiGene.gtf.gz
Malayan Strain Pk1 (A+)	5850	GCA_002140095.1	GCA_002140095.1	False	Scaffold	current		24771595	28	1832627	6	151	38.5			Plasmodium knowlesi	5850	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418103,5850	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium knowlesi				2759			5794	422676	5819	1639119	5820	5850						https://genome.ucsc.edu/h/GCA_002140095.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/140/095/GCA_002140095.1/genes/GCA_002140095.1_PKNOHv1.ncbiGene.gtf.gz
	5025	GCA_002148275.1	GCA_002148275.1	False	Scaffold	current		62487368	1040	213378	92	89	43.5			Venturia inaequalis	5025	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715962,147541,451868,1111111,5023,5024,5025	Ascomycota	Eukaryota		Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia inaequalis				2759		4751	4890	147541	1111111	5023	5024	5025						https://genome.ucsc.edu/h/GCA_002148275.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/148/275/GCA_002148275.1/genes/GCA_002148275.1_ViL.v1.0.augustus.gtf.gz
	5025	GCA_002148295.1	GCA_002148295.1	False	Scaffold	current		40142277	1680	48770	241	89	47.5			Venturia inaequalis	5025	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715962,147541,451868,1111111,5023,5024,5025	Ascomycota	Eukaryota		Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia inaequalis				2759		4751	4890	147541	1111111	5023	5024	5025						https://genome.ucsc.edu/h/GCA_002148295.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/148/295/GCA_002148295.1/genes/GCA_002148295.1_Vi1.2.8.9.v1.0.augustus.gtf.gz
